,TCGA-A2-A3XY,TCGA-A7-A26G,TCGA-A8-A09X,TCGA-AC-A2QJ,TCGA-AO-A03U,TCGA-AR-A1AR,TCGA-BH-A0BL,TCGA-BH-A0RX,TCGA-C8-A26X,TCGA-D8-A27M
ACTL7B,0,0,0,0,0,0.00503902,0.011940857,0,0.008068401,0
ACTL8,3.149853826,0.030489463,9.392131321,0.028808695,0,0.186505928,0.320039312,8.250649984,1.616723101,0.015071404
ACTL9,0,0,0,0,0,0,0,0,0,0
ACTN1,115.1143934,30.26138557,29.5995543,20.73991767,78.37797679,33.49732986,64.53263583,30.68665474,42.64711725,59.62050068
ACTN1-AS1,0.775879169,0.400740988,0.077690501,0.095618602,0.105019519,0.204920159,0.227622587,0.022025176,0.061521555,0.270125937
ACTN2,0.115743375,0.154156487,0.055886584,0.886897977,0.01110966,1.77324491,2.571040344,0.175213664,0.298507481,0.025400631
ACTN3,0.041997826,0.032318657,0.020676232,0,0,0.030676845,0.00403857,0.052755214,0.021830794,0.031951205
ACTN4,115.2285567,59.4344564,77.93845278,29.57371394,82.94017295,44.91209377,101.4869154,70.12605231,46.37833413,181.4810409
ACTR10,13.01588334,9.610423544,12.29225679,6.838176494,10.06650706,16.72775584,16.17999285,8.411599726,12.12798682,11.97382204
ACTR1A,35.44167344,18.08863504,39.34216785,36.03126358,24.0662653,24.88160268,28.82418439,37.64353592,36.57954801,22.76923797
ACTR1B,26.56279821,9.715739255,25.08806789,13.63529196,22.08906927,16.47290234,25.12651128,12.18257288,25.3142054,29.22478687
ACTR2,77.10665781,121.3966366,81.98165415,19.36571657,75.80974253,166.8506177,133.2078171,89.21555343,100.4069144,104.6656912
ACTR3,27.72533281,26.96577244,25.93331993,6.0641541,19.67556254,41.73105747,38.44616344,22.91340758,26.80953032,33.13162209
ACTR3B,4.513658335,1.275520391,0.715232367,4.911748523,0.697584836,6.78593922,8.014310175,4.674777878,1.360582283,0.526978753
ACTR3C,0.499213938,0.712603873,0.897722153,0.1690229,0.867337678,0.504750707,0.569465203,0.852067474,0.320902527,0.824093183
ACTR5,4.155740795,3.691333679,3.84854206,5.15011854,2.486198939,3.042525093,3.671352666,6.670923602,3.78656178,4.621944295
ACTR6,4.154604342,8.31096852,6.679671536,1.159520365,7.624367533,8.513779623,5.948919008,5.498565359,8.29103395,3.908572827
ACTR8,5.016179433,6.751113881,3.608194478,5.94752406,6.104356424,9.175141351,5.809313587,4.081537115,5.188146342,6.135432986
ACTRT1,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0
ACTRT3,2.59683239,2.87988409,0.253879381,0.642785916,0.655730356,1.817606036,1.232635913,0.966515272,1.388147211,1.457198071
ACVR1,12.70681846,15.24360647,9.294821393,4.643181784,17.00818754,11.88868182,23.34880621,6.505011646,12.4453018,18.03168484
ACVR1B,5.881862533,7.145495448,17.17315063,1.733355191,5.783013347,4.436971612,7.154245929,7.007118263,11.59779707,4.253462819
ACVR1C,0.72286959,0.562451833,0.104787122,0.036987085,0.053452023,0.554086726,2.022031227,0.134522448,0.08141319,0.627855522
ACVR2A,2.985399207,4.341757119,2.381873696,0.713876899,1.814960675,2.907535552,4.56950495,1.489071099,2.163305074,2.477338134
ACVR2B,0.766958483,1.520438853,1.090035621,0.253535055,0.714885158,2.227921017,1.464210052,0.523769439,0.996067741,1.017090037
ACVR2B-AS1,1.413294134,2.140527439,0.700603489,0.241793117,0.751784545,2.424237229,1.393842438,0.491431826,0.938002067,0.357162939
ACVRL1,8.34267364,4.524036138,5.598155499,22.98917062,3.881221382,4.795131714,7.69082527,10.77817739,7.754059636,4.690543947
