,TCGA-AC-A6IW,TCGA-AO-A128,TCGA-B6-A3ZX,TCGA-C8-A12V,TCGA-E2-A1LH,TCGA-EW-A1OV,TCGA-EW-A1PB,TCGA-EW-A6SB,TCGA-LL-A5YO,TCGA-S3-AA10
MANF,31.69623415,135.5104003,29.79766187,55.44075329,50.13943869,24.96855757,27.77980592,109.7729069,50.47644026,40.56447102
MANSC1,6.663035641,3.786689671,9.689527336,4.581545573,15.16238305,9.381227319,4.828246053,13.89639062,1.821662389,3.857087004
MANSC4,0.041722137,0.064723392,0.306475312,0,0,0.143519729,0.059112866,0.112738899,0.051743708,0.019911121
MAOA,0.347445471,0.412028552,2.540265177,7.369694063,0.810746841,0.327566646,10.13252862,0.078237084,0.919255796,0.154757818
MAOB,2.175179486,39.56231784,2.905274818,43.97063496,9.312192512,170.1989095,0.151651799,2.712752935,3.433099246,1.627553342
MAP10,1.387925563,0.726901127,2.201108776,2.430262032,1.196112819,0.807318884,2.455188848,2.427349288,1.520567436,1.164443803
MAP11,6.390241933,10.60612981,7.462328206,6.34510329,6.233771951,9.780527803,5.545631333,6.17406525,11.56250107,5.575682738
MAP1A,0.317231906,0.892046544,1.600603592,3.449971923,0.955951878,2.127235404,0.251755241,0.154622211,1.063257979,1.282050267
MAP1B,5.502779853,2.614929583,3.549799443,8.969872248,2.775640382,2.685318897,0.76129228,1.276138723,1.334870896,1.944980718
MAP1LC3A,4.941586924,20.84063106,17.89667338,18.39818346,6.62030711,10.81851227,20.63511234,8.132796667,14.72052686,8.207743721
MAP1LC3B,9.691024427,16.70442409,12.65315237,19.71098002,15.37465937,11.15962463,24.1354896,14.56029877,14.82505432,10.3666447
MAP1LC3B2,0.507253347,0.599543001,0.681716553,0.939651519,0.747020207,0.5400874,2.335736022,0.717968775,0.3594826,0.299714767
MAP1LC3C,0.108329304,0.156847449,2.847935964,1.353315737,0.415530542,0.476152806,0.29417653,0.146360271,0.582182375,0.017232721
MAP1S,18.55752628,10.5886699,11.56071541,11.73118362,9.763452772,8.122718317,12.6284259,7.030897655,15.53355343,15.5718358
MAP2,0.80496761,0.600313242,5.945827031,3.971190984,5.165350375,0.203229598,0.982239363,1.284625075,0.377804271,5.873356912
MAP2K1,12.1001633,15.65203777,14.92972593,14.35537048,9.121815656,11.65243512,20.17759665,12.36465894,17.19398392,11.90499107
MAP2K2,55.50420315,30.97144848,30.12207721,24.07294565,40.49982391,20.37150991,67.67060248,28.42547902,31.10720824,28.85359848
MAP2K3,17.83765272,17.98208823,26.34620862,13.92709276,14.3221696,16.51393085,25.37669412,12.35481092,19.1278145,13.01940983
MAP2K4,1.28478479,5.698823316,7.863663742,5.822196311,3.534973004,3.789998368,4.884151442,4.344625483,5.72044618,4.028186321
MAP2K4P1,0.016810455,0.146036774,0.188474598,0.13557379,0.024180637,0.144565461,0.017863075,0.02271207,0.156362189,0.09626976
MAP2K5,2.969312474,2.721655304,3.3127189,2.777053783,1.598628009,2.709173795,5.775594936,2.997345465,4.124439408,2.113428349
MAP2K6,0.785111843,14.77312007,1.349737027,2.879397209,0.45607445,0.551326645,3.13222672,0.917947721,3.037752692,0.871297647
MAP2K7,17.33539779,7.74468411,13.18177735,9.602713343,7.273086796,6.668046548,11.80358994,11.07365505,7.942644036,13.41310627
MAP3K1,6.560465347,9.437531202,10.20957643,10.50205728,4.304626607,7.963252416,2.909590671,3.370573084,7.333624417,4.031049776
MAP3K10,9.219980002,5.057984257,4.831845389,2.762750441,3.227050592,3.944372257,2.426977379,2.513255228,4.840093493,4.086306226
MAP3K11,10.33105114,8.483964787,12.42750398,13.67970782,10.31283456,10.82902138,14.21223076,14.70306959,9.786040952,7.974867579
MAP3K12,1.333302562,1.096473213,2.219215644,1.371735784,0.966632419,1.470478546,0.510196097,0.372575116,1.22522751,1.019603763
MAP3K13,5.776332822,3.838545802,3.1426022,2.98359506,1.349680101,5.234041602,3.928338673,3.076765827,2.264458447,1.691102935
MAP3K14,3.476583311,8.187119791,10.59668409,9.62592172,2.843121457,5.352314697,5.391576759,5.390169649,6.471999853,3.863580845
MAP3K15,0.048340079,0.054466262,0.056066567,0.039830434,0.005489506,0.017503658,0.029738782,0.015468333,0.099392889,0.156629166
MAP3K19,0.004734525,0.011016977,0.010982546,0.020214653,0.045969363,0.016286265,0.030185921,0.043177497,0.03082668,0.037281172
MAP3K2,3.074658267,8.272476273,4.11671563,8.436810135,3.307670773,6.500272659,5.43742443,4.261808097,4.698634853,5.24802853
MAP3K20,7.791529667,2.393402467,4.422184126,4.146809266,2.607236581,1.980804194,4.024120479,2.588887159,1.662932669,3.052630666
MAP3K20-AS1,0.144652249,0.069491143,0.081180433,0.046486852,0.080543965,0.016051239,0.074375774,0.094565344,0.095485724,0.066805761
MAP3K21,2.537755819,0.187360975,1.438337602,1.140823846,2.361630511,0.398767645,3.346000313,2.731774883,0.842554374,2.840760566
MAP3K2-DT,0.22742442,0.334752271,0.398729718,2.009779901,3.149613374,0.363867863,0.758715837,0.493054562,0.924865876,0.227164424
